topology,n_nodes,n_edges,n_critical_paths,max_static_risk,max_gnn_risk,mean_static_risk,mean_gnn_risk,avg_difference
Aarnet,19,24,3,0.6841372496918787,0.7449749410671722,0.30526245398876845,0.3622198819642315,0.056957427975463104
Abilene,11,14,3,0.6285352872342119,0.7231826309935884,0.3370794708806243,0.4035236735521336,0.0664442026715093
Abvt,23,31,3,0.6302768953770729,0.6917677060717125,0.2842574683280376,0.3446158515486847,0.06035838322064697
Aconet,23,31,3,0.5858514711938698,0.6188538381354832,0.2961275866699568,0.35944232557547956,0.06331473890552283
Agis,25,30,3,0.5399029189583617,0.599261429835444,0.27624992201544196,0.33107273936018206,0.05482281734474015
Ai3,10,9,1,0.5043426681946652,0.6001735727117594,0.3711681682971547,0.45327190793816047,0.08210373964100569
Airtel,16,26,3,0.6745381757559568,0.7657313256774506,0.2900889208150241,0.36796225878211986,0.07787333796709581
Amres,25,24,1,0.5745704547027539,0.6474919109233301,0.2856095561882552,0.33378090218007245,0.04817134599181732
Ans,18,25,3,0.6213455345699167,0.674546766222164,0.28017922345195845,0.3390687923994799,0.0588895689475215
Arn,30,29,1,0.6662922314888609,0.7221541087071939,0.27310041467806456,0.33835880113555783,0.06525838645749331
Arnes,34,46,3,0.541751346650648,0.6241813659945878,0.30903743065591566,0.3691626989216289,0.06012526826571333
Arpanet196912,4,4,1,0.3256540463180587,0.4106164954984111,0.25262550080161006,0.34230959909229897,0.08968409829068896
Arpanet19706,9,10,1,0.6215185004216889,0.6817427081866745,0.37562142768467005,0.4452967582006851,0.06967533051601502
Arpanet19719,18,22,2,0.5110554366289012,0.5671116095853489,0.2604145394518636,0.3200966743768227,0.059682134924959
Arpanet19723,25,28,2,0.5504816340277766,0.6076616160997472,0.2494867512549778,0.30524498019866514,0.055758228943687364
Arpanet19728,29,32,1,0.6722594521272346,0.7637427109750736,0.28041870236237176,0.3355795144847271,0.05516081212235534
AsnetAm,65,77,3,0.7265097686079892,0.7952665741719863,0.3059408113348665,0.36341680953692707,0.05747599820206057
Atmnet,21,22,2,0.5250627782681334,0.6055233711806197,0.29962693715273264,0.3520133360331497,0.052386398880417025
AttMpls,25,56,3,0.614444838982694,0.6430726474267296,0.3129097068655163,0.37134707323910693,0.058437366373590614
Azrena,22,21,1,0.5607637419131996,0.5974294432900742,0.2857625607674841,0.3339726812356346,0.04821012046815069
Bandcon,22,28,3,0.6442680796267567,0.6976237940846777,0.28255503596725934,0.337284257989409,0.05472922202214964
Basnet,7,6,1,0.5092379612064067,0.5818656846503919,0.31095475460961436,0.37636813157437693,0.06541337696476258
Bbnplanet,27,28,2,0.6259946207820394,0.6625632234815062,0.2849123910298252,0.34178699093782994,0.05687459990800486
Bellcanada,48,64,3,0.6147673291269241,0.6546444106857685,0.2675062941999399,0.31995216422782025,0.0524458700278804
Bellsouth,51,66,3,0.6540162922112922,0.7150634806194631,0.26603564449977757,0.31603663500681706,0.050000990507039454
Belnet2003,23,39,3,0.6282291926868651,0.7246345803957568,0.3255420640753577,0.4013492029996789,0.07580713892432131
Belnet2004,23,39,3,0.5725216369434246,0.6114269271493283,0.2484227607208097,0.32748571266781235,0.07906295194700254
Belnet2005,23,41,3,0.6184961218038183,0.688183677908176,0.31553989427681683,0.3950228172985568,0.07948292302174001
Belnet2006,23,41,3,0.5862473355203516,0.6623696360849151,0.29684510186143276,0.3661453642458068,0.06930026238437405
Belnet2007,21,24,3,0.5269857698006171,0.5553634971206473,0.2307183276985647,0.2853044678247768,0.0545861401262121
